Team,Wins,Losses,Win Percentage,Games Played
Blue Jays,94,68,.580,162
Yankees,94,68,.580,162
Red Sox,89,73,.549,162
Rays,77,85,.475,162
Orioles,75,87,.463,162
Guardians,88,74,.543,162
Tigers,87,75,.537,162
Royals,82,80,.506,162
Twins,70,92,.432,162
White Sox,60,102,.370,162
Mariners,90,72,.556,162
Astros,87,75,.537,162
Rangers,81,81,.500,162
Athletics,76,86,.469,162
Angels,72,90,.444,162
Phillies,96,66,.593,162
Mets,83,79,.512,162
Marlins,79,83,.488,162
Braves,76,86,.469,162
Nationals,66,96,.407,162
Brewers,97,65,.599,162
Cubs,92,70,.568,162
Reds,83,79,.512,162
Cardinals,78,84,.481,162
Pirates,71,91,.438,162
Dodgers,93,69,.574,162
Padres,90,72,.556,162
Giants,81,81,.500,162
D-backs,80,82,.494,162
Rockies,43,119,.265,162
